"domain","site","grid","lat","lon","elev","nlcd"
"D01_Northeast","BART","BART_001",44.046877,-71.305115,463.7,"mixedForest"
"D01_Northeast","BART","BART_007",44.051112,-71.298377,382.7,"mixedForest"
"D01_Northeast","BART","BART_012",44.047478,-71.315451,579.9,"deciduousForest"
"D01_Northeast","BART","BART_015",44.042898,-71.275059,422.8,"mixedForest"
"D01_Northeast","BART","BART_062",44.05735,-71.308646,447.2,"deciduousForest"
"D01_Northeast","BART","BART_084",44.048501,-71.297965,416.1,"evergreenForest"
"D01_Northeast","HARV","HARV_001",42.422943,-72.258721,200.7,"deciduousForest"
"D01_Northeast","HARV","HARV_006",42.401991,-72.254785,185.7,"deciduousForest"
"D01_Northeast","HARV","HARV_008",42.443394,-72.225117,241,"deciduousForest"
"D01_Northeast","HARV","HARV_010",42.424891,-72.256376,196.7,"mixedForest"
"D01_Northeast","HARV","HARV_014",42.471298,-72.263909,206.9,"mixedForest"
"D01_Northeast","HARV","HARV_016",42.457572,-72.23064,219.8,"woodyWetlands"
"D01_Northeast","HARV","HARV_021",42.45146,-72.2518,176.7,"evergreenForest"
"D01_Northeast","HARV","HARV_023",42.412979,-72.226194,173.8,"evergreenForest"
"D01_Northeast","HARV","HARV_032",42.461612,-72.228594,240.6,"evergreenForest"
"D02_Midatlantic","BLAN","BLAN_001",39.08948,-77.9581,128.6,"deciduousForest"
"D02_Midatlantic","BLAN","BLAN_002",39.093127,-77.980786,135.5,"pastureHay"
"D02_Midatlantic","BLAN","BLAN_003",39.079499,-77.962386,120.5,"pastureHay"
"D02_Midatlantic","BLAN","BLAN_006",39.084621,-77.962278,149.3,"pastureHay"
"D02_Midatlantic","BLAN","BLAN_009",39.085574,-77.958408,134.3,"deciduousForest"
"D02_Midatlantic","SCBI","SCBI_002",38.896699,-78.142137,353.3,"deciduousForest"
"D02_Midatlantic","SCBI","SCBI_003",38.884303,-78.12146,556.3,"deciduousForest"
"D02_Midatlantic","SCBI","SCBI_004",38.898043,-78.145419,307.9,"deciduousForest"
"D02_Midatlantic","SCBI","SCBI_008",38.886446,-78.146422,361.8,"deciduousForest"
"D02_Midatlantic","SCBI","SCBI_016",38.904463,-78.160456,254.1,"deciduousForest"
"D02_Midatlantic","SCBI","SCBI_035",38.882192,-78.169985,324,"pastureHay"
"D02_Midatlantic","SCBI","SCBI_039",38.894934,-78.166558,324.4,"pastureHay"
"D02_Midatlantic","SERC","SERC_007",38.873534,-76.538146,3.9,"cultivatedCrops"
"D02_Midatlantic","SERC","SERC_008",38.872818,-76.52527,2.2,"cultivatedCrops"
"D02_Midatlantic","SERC","SERC_011",38.89944,-76.553317,32.6,"deciduousForest"
"D02_Midatlantic","SERC","SERC_014",38.874736,-76.541263,3.7,"deciduousForest"
"D02_Midatlantic","SERC","SERC_015",38.899571,-76.557256,28.2,"deciduousForest"
"D02_Midatlantic","SERC","SERC_016",38.900368,-76.546731,13.7,"deciduousForest"
"D02_Midatlantic","SERC","SERC_031",38.902962,-76.539041,14.4,"deciduousForest"
"D02_Midatlantic","SERC","SERC_032",38.895119,-76.540585,4.4,"deciduousForest"
"D03_Southeast","DSNY","DSNY_001",28.097204,-81.417175,21.1,"woodyWetlands"
"D03_Southeast","DSNY","DSNY_004",28.099481,-81.401475,20.8,"woodyWetlands"
"D03_Southeast","DSNY","DSNY_005",28.039127,-81.391902,19.7,"woodyWetlands"
"D03_Southeast","DSNY","DSNY_006",28.092915,-81.400851,20.7,"woodyWetlands"
"D03_Southeast","DSNY","DSNY_010",28.117326,-81.435682,18.1,"woodyWetlands"
"D03_Southeast","DSNY","DSNY_016",28.045236,-81.393101,19.9,"pastureHay"
"D03_Southeast","DSNY","DSNY_085",28.12383,-81.439291,18.2,"pastureHay"
"D03_Southeast","JERC","JERC_002",31.195708,-84.459355,47.3,"evergreenForest"
"D03_Southeast","JERC","JERC_003",31.195225,-84.472087,33,"deciduousForest"
"D03_Southeast","JERC","JERC_005",31.197297,-84.451595,44.7,"evergreenForest"
"D03_Southeast","JERC","JERC_006",31.188338,-84.454487,42.5,"mixedForest"
"D03_Southeast","JERC","JERC_008",31.194665,-84.449084,42.1,"mixedForest"
"D03_Southeast","JERC","JERC_009",31.194279,-84.455589,51.5,"evergreenForest"
"D03_Southeast","JERC","JERC_019",31.187331,-84.472213,35.2,"deciduousForest"
"D03_Southeast","OSBS","OSBS_002",29.705096,-81.956249,31.4,"evergreenForest"
"D03_Southeast","OSBS","OSBS_003",29.695023,-81.94563,36.1,"deciduousForest"
"D03_Southeast","OSBS","OSBS_004",29.682962,-81.958186,34.7,"evergreenForest"
"D03_Southeast","OSBS","OSBS_005",29.69516,-82.026036,28.8,"woodyWetlands"
"D03_Southeast","OSBS","OSBS_012",29.720107,-81.984994,26.6,"woodyWetlands"
"D03_Southeast","OSBS","OSBS_023",29.723545,-81.984417,24.8,"emergentHerbaceousWetlands"
"D03_Southeast","OSBS","OSBS_063",29.686137,-81.970593,38.9,"mixedForest"
"D03_Southeast","OSBS","OSBS_077",29.678868,-82.017378,29.4,"woodyWetlands"
"D04_Atlantic Neotropical","GUAN","GUAN_002",17.971419,-66.825897,93.1,"evergreenForest"
"D04_Atlantic Neotropical","GUAN","GUAN_003",17.972847,-66.86274,169.2,"evergreenForest"
"D04_Atlantic Neotropical","GUAN","GUAN_004",17.970525,-66.85241,145.6,"evergreenForest"
"D04_Atlantic Neotropical","GUAN","GUAN_005",17.968587,-66.881952,178.2,"evergreenForest"
"D04_Atlantic Neotropical","GUAN","GUAN_007",17.973626,-66.85887,181.5,"evergreenForest"
