"abb","tsn","species","order","suborder","superfamily","family","subfamily","genus"
"AMHA",180179,"Ammospermophilus harrisii","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Ammospermophilus"
"BATA",180368,"Baiomys taylori","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Baiomys"
"BLBR",1229285,"Blarina brevicaudus","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Blarina"
"BLCA",179968,"Blarina carolinensis","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Blarina"
"BLHY",179969,"Blarina hylophaga","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Blarina"
"CALA",930305,"Callospermophilus lateralis","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Callospermophilus"
"CHBA",552520,"Chaetodipus baileyi","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Chaetodipus"
"CHCA",552491,"Chaetodipus californicus","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Chaetodipus"
"CHER",552489,"Chaetodipus eremicus","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Chaetodipus"
"CHHI",552483,"Chaetodipus hispidus","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Chaetodipus"
"CHIN",552484,"Chaetodipus intermedius","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Chaetodipus"
"CHPE",552486,"Chaetodipus penicillatus","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Chaetodipus"
"COCR",179964,"Condylura cristata","Eulipotyphla",NA,NA,"Talpidae","Talpinae","Condylura"
"CRPA",1229257,"Cryptotis parvus","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Cryptotis"
"DIGR",180328,"Dicrostonyx groenlandicus","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Dicrostonyx"
"DIHE",180239,"Dipodomys heermanni","Rodentia","Castorimorpha",NA,"Heteromyidae","Dipodomyinae","Dipodomys"
"DIME",180241,"Dipodomys merriami","Rodentia","Castorimorpha",NA,"Heteromyidae","Dipodomyinae","Dipodomys"
"DIMI",180242,"Dipodomys microps","Rodentia","Castorimorpha",NA,"Heteromyidae","Dipodomyinae","Dipodomys"
"DIOR",180244,"Dipodomys ordii","Rodentia","Castorimorpha",NA,"Heteromyidae","Dipodomyinae","Dipodomys"
"DISP",180246,"Dipodomys spectabilis","Rodentia","Castorimorpha",NA,"Heteromyidae","Dipodomyinae","Dipodomys"
"GLSA",180169,"Glaucomys sabrinus","Rodentia","Sciuromorpha",NA,"Sciuridae","Sciurinae","Glaucomys"
"GLVO",180170,"Glaucomys volans","Rodentia","Sciuromorpha",NA,"Sciuridae","Sciurinae","Glaucomys"
"ICTR",930308,"Ictidomys tridecemlineatus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Ictidomys"
"LECU",552490,"Lemmiscus curtatus","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Lemmiscus"
"LETR",203526,"Lemmus trimucronatus","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Lemmus"
"MICA",180305,"Microtus californicus","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Microtus"
"MILO",180299,"Microtus longicaudus","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Microtus"
"MIMI",180309,"Microtus miurus","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Microtus"
"MIMO",180310,"Microtus montanus","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Microtus"
"MIOC",180312,"Microtus ochrogaster","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Microtus"
"MIOE",180298,"Microtus oeconomus","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Microtus"
"MIOR",180313,"Microtus oregoni","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Microtus"
"MIPE",180297,"Microtus pennsylvanicus","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Microtus"
"MIPI",180314,"Microtus pinetorum","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Microtus"
"MIXA",180301,"Microtus xanthognathus","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Microtus"
"MUMU",180366,"Mus musculus","Rodentia","Myomorpha","Muroidea","Muridae","Murinae","Mus"
"MYGA",970612,"Myodes gapperi","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Myodes"
"MYRU",970618,"Myodes rutilus","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Myodes"
"NAIN",180390,"Napaeozapus insignis","Rodentia","Myomorpha","Dipodoidea","Dipodidae","Zapodinae","Napaeozapus"
"NEAL",180370,"Neotoma albigula","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Neotoma"
"NEAM",180190,"Tamias amoenus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"NEAP",180189,"Tamias alpinus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"NECI",180371,"Neotoma cinerea","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Neotoma"
"NEDO",180193,"Tamias dorsalis","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"NEFL",180372,"Neotoma floridana","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Neotoma"
"NEGI",179975,"Neurotrichus gibbsii","Eulipotyphla",NA,NA,"Talpidae","Talpinae","Neurotrichus"
"NELE",180374,"Neotoma lepida","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Neotoma"
"NEME",180375,"Neotoma mexicana","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Neotoma"
"NEMI",180376,"Neotoma micropus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Neotoma"
"NEMN",180195,"Tamias minimus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"NEMR",180194,"Tamias merriami","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"NEQA",180201,"Tamias quadrivittatus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"NEQU",180200,"Tamias quadrimaculatus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"NERU",552503,"Tamias rufus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"NESP",180206,"Tamias speciosus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"NETO",180208,"Tamias townsendii","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"NEUM",180209,"Tamias umbrinus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"OCNU",180379,"Ochrotomys nuttalli","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Ochrotomys"
"OCPR",180109,"Ochotona princeps","Lagomorpha",NA,NA,"Ochotonidae",NA,"Ochotona"
"ONAR",180381,"Onychomys arenicola","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Onychomys"
"ONLE",180382,"Onychomys leucogaster","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Onychomys"
"ONTO",180383,"Onychomys torridus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Onychomys"
"ORPA",180336,"Oryzomys palustris","Rodentia","Myomorpha","Muroidea","Cricetidae","Sigmodontinae","Oryzomys"
"OTBE",930301,"Otospermophilus beecheyi","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Otospermophilus"
"OTVA",930302,"Otospermophilus variegatus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Otospermophilus"
"PEAM",180256,"Perognathus amplus","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Perognathus"
"PEAT",180281,"Peromyscus attwateri","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PEBO",180282,"Peromyscus boylii","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PECA",180283,"Peromyscus californicus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PECR",180284,"Peromyscus crinitus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PEER",180286,"Peromyscus eremicus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PEFA",180260,"Perognathus fasciatus","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Perognathus"
"PEFL",180261,"Perognathus flavescens","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Perognathus"
"PEFV",180262,"Perognathus flavus","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Perognathus"
"PEGO",180279,"Peromyscus gossypinus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PEIN",180265,"Perognathus inornatus","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Perognathus"
"PEKE",552497,"Peromyscus keeni","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PELE",180278,"Peromyscus leucopus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PELO",180267,"Perognathus longimembris","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Perognathus"
"PEMA",180276,"Peromyscus maniculatus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PEME",180288,"Peromyscus merriami","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PENA",552496,"Peromyscus nasutus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PEPA",180269,"Perognathus parvus","Rodentia","Castorimorpha",NA,"Heteromyidae","Perognathinae","Perognathus"
"PEPO",180290,"Peromyscus polionotus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PETR",180291,"Peromyscus truei","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Peromyscus"
"PHIN",180359,"Phenacomys intermedius","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Phenacomys"
"POFL",180339,"Podomys floridanus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Podomys"
"POFR",930309,"Poliocitellus franklinii","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Poliocitellus"
"RANO",180363,"Rattus norvegicus","Rodentia","Myomorpha","Muroidea","Muridae","Murinae","Rattus"
"RARA",180362,"Rattus rattus","Rodentia","Myomorpha","Muroidea","Muridae","Murinae","Rattus"
"REFU",180341,"Reithrodontomys fulvescens","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Reithrodontomys"
"REHU",180342,"Reithrodontomys humulis","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Reithrodontomys"
"REME",180343,"Reithrodontomys megalotis","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Reithrodontomys"
"REMO",180344,"Reithrodontomys montanus","Rodentia","Myomorpha","Muroidea","Cricetidae","Neotominae","Reithrodontomys"
"SCCA",180175,"Sciurus carolinensis","Rodentia","Sciuromorpha",NA,"Sciuridae","Sciurinae","Sciurus"
"SIAR",180347,"Sigmodon arizonae","Rodentia","Myomorpha","Muroidea","Cricetidae","Sigmodontinae","Sigmodon"
"SIHI",180349,"Sigmodon hispidus","Rodentia","Myomorpha","Muroidea","Cricetidae","Sigmodontinae","Sigmodon"
"SIOC",180350,"Sigmodon ochrognathus","Rodentia","Myomorpha","Muroidea","Cricetidae","Sigmodontinae","Sigmodon"
"SOAR",179935,"Sorex arcticus","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOCI",179929,"Sorex cinereus","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SODI",179941,"Sorex dispar","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOFU",179943,"Sorex fumeus","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOHA",179945,"Sorex haydeni","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOHO",179946,"Sorex hoyi","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOLO",179936,"Sorex longirostris","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOME",179949,"Sorex merriami","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOMO",179950,"Sorex monticolus","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOOR",179952,"Sorex ornatus","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOPA",179933,"Sorex palustris","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOPR",179954,"Sorex preblei","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOTR",179956,"Sorex trowbridgii","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOTU",179957,"Sorex tundrensis","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOUG",552509,"Sorex ugyunak","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SOVA",179932,"Sorex vagrans","Eulipotyphla",NA,NA,"Soricidae","Soricinae","Sorex"
"SYCO",180324,"Synaptomys cooperi","Rodentia","Myomorpha","Muroidea","Cricetidae","Arvicolinae","Synaptomys"
"SYFL",180124,"Sylvilagus floridanus","Lagomorpha",NA,NA,"Leporidae",NA,"Sylvilagus"
"TADO",180167,"Tamiasciurus douglasii","Rodentia","Sciuromorpha",NA,"Sciuridae","Sciurinae","Tamiasciurus"
"TAHU",180166,"Tamiasciurus hudsonicus","Rodentia","Sciuromorpha",NA,"Sciuridae","Sciurinae","Tamiasciurus"
"TAST",180207,"Tamias striatus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Tamias"
"THTA",180228,"Thomomys talpoides","Rodentia","Castorimorpha",NA,"Geomyidae",NA,"Thomomys"
"URAR",930314,"Urocitellus armatus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Urocitellus"
"URPA",930321,"Urocitellus parryii","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Urocitellus"
"URRI",930322,"Urocitellus richardsonii","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Urocitellus"
"XESP",930312,"Xerospermophilus spilosoma","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Xerospermophilus"
"XETE",930313,"Xerospermophilus tereticaudus","Rodentia","Sciuromorpha",NA,"Sciuridae","Xerinae","Xerospermophilus"
"ZAHU",180386,"Zapus hudsonius","Rodentia","Myomorpha","Dipodoidea","Dipodidae","Zapodinae","Zapus"
"ZAPR",180387,"Zapus princeps","Rodentia","Myomorpha","Dipodoidea","Dipodidae","Zapodinae","Zapus"
"ZATR",180388,"Zapus trinotatus","Rodentia","Myomorpha","Dipodoidea","Dipodidae","Zapodinae","Zapus"
